bitlength,duration_s,exchange_success
2048,0.0107032,1
4096,0.0442992,1
8192,0.215993,1
2048,0.00455054,1
4096,0.032235,1
8192,0.221336,1
2048,0.00452104,1
4096,0.0327786,1
8192,0.220349,1
2048,0.00452663,1
4096,0.0324168,1
8192,0.22126,1
2048,0.00460596,1
4096,0.0326525,1
8192,0.222192,1
2048,0.0045615,1
4096,0.0328443,1
8192,0.221793,1
2048,0.00459367,1
4096,0.0328246,1
8192,0.2189,1
2048,0.00468129,1
4096,0.0323485,1
8192,0.220049,1
2048,0.0046035,1
4096,0.0327506,1
8192,0.222913,1
2048,0.00457817,1
4096,0.0325672,1
8192,0.221715,1
2048,0.00459429,1
4096,0.0326468,1
8192,0.222073,1
2048,0.00456046,1
4096,0.0326522,1
8192,0.22416,1
2048,0.00462342,1
4096,0.033558,1
8192,0.221148,1
2048,0.00454038,1
4096,0.0330034,1
8192,0.223524,1
2048,0.00457796,1
4096,0.0329865,1
8192,0.224292,1
2048,0.00479392,1
4096,0.0335698,1
8192,0.223529,1
2048,0.00480858,1
4096,0.0330735,1
8192,0.223052,1
2048,0.00459108,1
4096,0.033133,1
8192,0.221646,1
2048,0.00464308,1
4096,0.0330571,1
8192,0.223278,1
2048,0.00463775,1
4096,0.0334005,1
8192,0.223316,1
2048,0.00457421,1
4096,0.0328103,1
8192,0.222328,1
2048,0.00474542,1
4096,0.0334031,1
8192,0.222577,1
2048,0.00466737,1
4096,0.0329309,1
8192,0.223156,1
2048,0.00462963,1
4096,0.0332918,1
8192,0.223367,1
2048,0.00465429,1
4096,0.0330576,1
8192,0.222791,1
2048,0.0114879,1
4096,0.0369867,1
8192,0.223065,1
2048,0.00459417,1
4096,0.0328406,1
8192,0.225357,1
2048,0.00465458,1
4096,0.0332533,1
8192,0.22262,1
2048,0.00451683,1
4096,0.0332672,1
8192,0.225675,1
2048,0.00473567,1
4096,0.0334962,1
8192,0.223014,1
2048,0.00471633,1
4096,0.0334175,1
8192,0.22348,1
2048,0.00478392,1
4096,0.0334053,1
8192,0.222992,1
2048,0.00484462,1
4096,0.0329996,1
8192,0.223098,1
2048,0.00464021,1
4096,0.0333851,1
8192,0.224904,1
2048,0.00464508,1
4096,0.0332944,1
8192,0.223425,1
2048,0.00467988,1
4096,0.0336027,1
8192,0.223541,1
2048,0.00470775,1
4096,0.033612,1
8192,0.223152,1
2048,0.00490896,1
4096,0.033528,1
8192,0.223005,1
2048,0.00479342,1
4096,0.033414,1
8192,0.222972,1
2048,0.00486979,1
4096,0.0335504,1
8192,0.223081,1
2048,0.00480175,1
4096,0.0336303,1
8192,0.223495,1
2048,0.00481054,1
4096,0.0336866,1
8192,0.223154,1
2048,0.00475696,1
4096,0.0330483,1
8192,0.223694,1
2048,0.00476258,1
4096,0.033715,1
8192,0.223965,1
2048,0.00487821,1
4096,0.033299,1
8192,0.223633,1
2048,0.00465454,1
4096,0.0334259,1
8192,0.223124,1
2048,0.00465775,1
4096,0.0333351,1
8192,0.222913,1
2048,0.00465358,1
4096,0.0329564,1
8192,0.224922,1
2048,0.00486542,1
4096,0.033066,1
8192,0.22314,1
2048,0.00468554,1
4096,0.0333536,1
8192,0.224961,1
2048,0.00470487,1
4096,0.0331239,1
8192,0.222874,1
2048,0.00488329,1
4096,0.0333681,1
8192,0.224641,1
2048,0.00470721,1
